scenario,iteration,fuzzer_type,algorithm,handover_count_iter,handover_rate,vulnerability_count,vulnerability_severity,cascade_indicator,vulnerabilities,jain_fairness_index,load_efficiency,load_std,load_max,alpha_fairness_a1,alpha_fairness_a2,avg_sinr_db,sinr_5th_percentile_db,avg_high_prio_sinr,worst_high_prio_sinr,num_ues_below_qos,avg_throughput_mbps,throughput_5th_percentile_mbps,avg_transmission_time_ms,has_ping_pong,has_qoe_violation,has_unfairness
Low Load,0,Naive_Random,utility,25,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 3.71 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']",0.06999203938286107,0.9593945898369228,0.042323993269525684,0.13333333333333333,12.449237823486328,-34.598201751708984,1.8022114,-4.804477381706238,3.705477,-4.120944,13,21.335747,5.641206908226013,0.9542269981466234,False,True,True
Low Load,0,Naive_Random,ml_based,21,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 3.70 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']",0.05077707768404725,0.9606895808301764,0.04091896066558106,0.13333333333333333,12.209723472595215,-83.07931518554688,1.7675384,-10.0,3.6964693,-10.0,13,26.197172,1.8810484409332275,1.9304092274978757,False,True,True
High Load,0,Adaptive_AI,baseline,7,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -8.13 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.24']",0.24117175185131556,0.9648973046155367,0.03637972167250478,0.13333333333333333,-62.890403747558594,-268.76715087890625,-9.104318,-10.0,-8.127699,-10.0,29,2.8059916,1.8810484409332275,5.744068417698145,False,True,True
High Load,0,Adaptive_AI,utility,29,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -7.01 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']",0.11263178391587574,0.8608718073620478,0.16161313618142495,0.7333333333333333,-42.7476692199707,-226.54356384277344,-6.188359,-10.0,-7.0128045,-10.0,26,9.821603,1.8810484409332275,4.872509744018316,False,True,True
High Load,0,Adaptive_AI,ml_based,30,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -9.25 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.13']",0.1306980259242111,0.94293369165564,0.06051995898477312,0.2,-58.683006286621094,-250.962890625,-8.495235,-10.0,-9.245917,-10.0,29,3.6577296,1.8810484409332275,5.381129216402769,False,True,True
High Load,0,Basic_AI,baseline,26,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -1.47 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.14']",0.1373841916717975,0.9493712499226161,0.05332871632831812,0.2,-21.88336181640625,-112.7441177368164,-3.1679413,-10.0,-1.4733518,-10.0,23,11.331439,1.8810484409332275,2.561132190749049,False,True,True
High Load,0,Basic_AI,utility,25,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -1.04 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.24']",0.238510515535839,0.9249340798296491,0.08115812986821316,0.3333333333333333,-17.11233901977539,-117.13814544677734,-2.4772646,-10.0,-1.0421847,-10.0,21,13.5402975,1.8810484409332275,2.644853200763464,False,True,True
High Load,0,Basic_AI,ml_based,28,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -9.83 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']",0.033551237599263484,0.9503710373150652,0.05222061777592006,0.16666666666666666,-57.440460205078125,-272.5942687988281,-8.315357,-10.0,-9.827834,-10.0,29,6.5693755,1.8810484409332275,5.816389806568623,False,True,True
High Load,0,Strategic_Random,baseline,22,0,1,1,0,['Unfairness: Jain Index = 0.12'],0.11801071763439679,0.9735403128523596,0.027178830499701174,0.1,30.232242584228516,-42.315067291259766,4.3765655,-7.6218763589859,5.4179115,-5.2853417,9,32.01093,3.4494443655014044,1.089895493350923,False,False,True
High Load,0,Strategic_Random,utility,27,0,1,1,0,['Unfairness: Jain Index = 0.22'],0.21904124839901642,0.9634346015125301,0.03795317132067358,0.13333333333333333,20.211671829223633,-38.62968826293945,2.9259386,-6.14231653213501,5.9989676,-5.9625244,12,26.445524,4.296764326095581,1.0256986133754253,False,False,True
High Load,0,Strategic_Random,ml_based,24,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -0.62 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']",0.041450348203986465,0.9648973046155367,0.03637972167250478,0.1,-7.283217430114746,-123.03514099121094,-1.0543536,-10.0,-0.61611986,-10.0,20,19.806261,1.8810484409332275,2.754209330305457,False,True,True
High Load,0,Naive_Random,baseline,21,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 4.04 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.24']",0.2402060386642034,0.9680461752673912,0.03300857495127506,0.13333333333333333,25.39113426208496,-42.386016845703125,3.6757429,-8.576497888565063,4.043801,-2.880678,11,28.738033,2.5975137591362003,1.096039661206305,False,True,True
