scenario,fuzzer_type,algorithm,avg_jain_fairness,std_jain_fairness,avg_ho_rate,std_ho_rate,avg_throughput_5th,std_throughput_5th,total_vulns,vulnerabilities,vuln_diversity
Low Load,Naive_Random,ml_based,0.1114388668088132,,22.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -5.61 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']]",2
Low Load,Naive_Random,utility,0.0732123644427866,,23.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.45 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
Low Load,Strategic_Random,baseline,0.2898901531067827,,10.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.93 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.29']]",2
Low Load,Strategic_Random,ml_based,0.1030117587124529,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -4.42 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.10']]",2
Low Load,Strategic_Random,utility,0.1330812512940825,,21.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 0.23 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.13']]",2
Mixed Mobility,Adaptive_AI,baseline,0.0400449972679749,,3.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -7.57 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
Mixed Mobility,Adaptive_AI,ml_based,0.0361373278955222,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -6.87 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
Mixed Mobility,Adaptive_AI,utility,0.0398707387426955,,27.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -5.70 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
Mixed Mobility,Basic_AI,baseline,0.0830438072210519,,10.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -4.52 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']]",2
Mixed Mobility,Basic_AI,ml_based,0.119223071963027,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -7.49 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.12']]",2
Mixed Mobility,Basic_AI,utility,0.1394486750222364,,23.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -1.62 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.14']]",2
Mixed Mobility,Naive_Random,baseline,0.1294358899583899,,11.0,,2.059684205055237,,1,[['Unfairness: Jain Index = 0.13']],1
Mixed Mobility,Naive_Random,ml_based,0.0407812085493204,,19.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -1.76 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
Mixed Mobility,Naive_Random,utility,0.085131239764928,,23.0,,2.333670330047608,,2,"[['QoS Violation: Avg High Prio SINR = 2.58 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.09']]",2
Mixed Mobility,Strategic_Random,baseline,0.1089393466151281,,11.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -1.08 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']]",2
Mixed Mobility,Strategic_Random,ml_based,0.1463463345726179,,23.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -0.06 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.15']]",2
Mixed Mobility,Strategic_Random,utility,0.0805707679916686,,20.0,,2.1423198103904726,,2,"[['QoS Violation: Avg High Prio SINR = -2.49 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']]",2
